chid,casn,chnm,n_tested,n_active,n_selective,n_biofamilies_active,n_biofamilies_selective,family_loss
45178,27686-84-6,Masoprocol,78,9,0,4,0,4
45082,118-10-5,Cinchonine,78,2,2,1,1,0
45186,41078-02-8,Enprofylline,78,0,0,0,0,0
40266,115-31-1,Thanite,78,2,2,1,1,0
45109,894-71-3,Nortriptyline hydrochloride,78,14,0,4,0,4
45108,NOCAS_45108,"1-(3-Carboxyphenyl)-2,5-dimethyl-1H-pyrrole-3-carboxylic acid, strychnidin-10-one (1:1)",78,0,0,0,0,0
43897,5627-46-3,Clobenztropine,78,40,7,7,4,3
35106,56-12-2,4-Aminobutanoic acid,78,0,0,0,0,0
45110,3737-33-5,Etymemazine hydrochloride,78,22,5,6,2,4
45112,102280-49-9,Tramazoline tosylate,78,2,2,1,1,0
25548,1229-35-2,Methdilazine hydrochloride,78,8,0,3,0,3
45079,5328-41-6,"D-Gluconic acid, barium salt",78,0,0,0,0,0
45078,3470-36-8,Calcium 5-ketogluconate,78,0,0,0,0,0
23171,59-63-2,Isocarboxazid,78,0,0,0,0,0
23209,59-92-7,Levodopa,78,1,1,1,1,0
45086,4995-43-1,Estradiol phosphate,78,6,6,3,3,0
45103,2870-71-5,Atropine methylbromide,78,2,2,1,1,0
45101,6106-81-6,Scopolamine N-oxide hydrobromide,156,0,0,0,0,0
42465,7722-88-5,Tetrasodium pyrophosphate,78,3,3,2,2,0
47857,68060-64-0,Rolitetracycline hydrochloride,78,0,0,0,0,0
45096,132-17-2,Benztropine methylsulfonate,78,8,2,3,1,2
45094,6266-73-5,Cholic acid piperazine (1:1),78,0,0,0,0,0
45091,129-74-8,Buclizine dihydrochloride,78,6,6,3,3,0
45120,38029-10-6,Pirbuterol hydrochloride,78,0,0,0,0,0
45236,53-84-9,NAD,78,0,0,0,0,0
23085,536-69-6,Fusaric acid,78,0,0,0,0,0
23589,3930-20-9,Sotalol,78,1,1,1,1,0
45180,62613-82-5,4-Hydroxy-2-oxo-1-pyrrolidineacetamide,78,0,0,0,0,0
45203,98631-95-9,Sobuzoxane,78,11,11,3,3,0
22685,61-75-6,Bretylium tosylate,78,0,0,0,0,0
45225,22560-50-5,Clodronic acid disodium salt,78,0,0,0,0,0
45226,85666-17-7,Furegrelate sodium,78,1,1,1,1,0
23658,5591-45-7,Thiothixene,78,18,0,5,0,5
21425,34661-75-1,Urapidil,78,0,0,0,0,0
45222,81801-12-9,Xamoterol,78,0,0,0,0,0
41153,68506-86-5,4-Amino-5-hexenoic acid,78,0,0,0,0,0
22941,4757-55-5,Dimetacrine,78,7,0,3,0,3
41104,609-36-9,DL-Proline,78,0,0,0,0,0
22632,4438-22-6,Atropine N-oxide,78,0,0,0,0,0
45114,1824-50-6,Benzylhydrochlorothiazide,78,0,0,0,0,0
45115,1847-24-1,Floxacillin sodium salt,78,0,0,0,0,0
23593,27007-85-8,Spiclomazine hydrochloride,78,38,3,7,1,6
45144,522-51-0,Dequalinium dichloride,78,13,0,4,0,4
45160,84243-58-3,Imazodan,78,2,2,2,2,0
45150,60940-34-3,Ebselen,78,13,2,4,1,3
45168,23707-33-7,Metrifudil,78,3,3,1,1,0
45216,118409-58-8,Tyrphostin 25,78,11,0,4,0,4
196931,4672-49-5,Ethylene dimethanesulfonate,12,0,0,0,0,0
38338,61949-76-6,(+/-)-cis-Permethrin,12,0,0,0,0,0
41683,2104-96-3,Bromofos,271,38,38,7,7,0
21127,63-92-3,Phenoxybenzamine hydrochloride,546,132,13,11,5,6
24291,13593-03-8,Quinalphos,534,42,9,6,4,2
24772,74-11-3,4-Chlorobenzoic acid,271,1,1,1,1,0
40270,3347-22-6,Dithianon,269,159,18,12,5,7
47569,2443-58-5,2-Hydroxyfluorene,281,63,6,8,3,5
27314,815-17-8,"3,3-Dimethyl-2-oxobutyric acid",268,0,0,0,0,0
47649,122-91-8,4-Methoxybenzyl formate,268,1,1,1,1,0
20296,20265-96-7,4-Chloroaniline hydrochloride,531,24,24,5,5,0
41761,123-03-5,Cetylpyridinium chloride,268,157,21,12,6,6
37571,950-35-6,Methylparaoxon,268,31,8,7,5,2
41617,101-27-9,Barban,268,126,19,8,6,2
35266,20711-10-8,(Z)-Tetradec-11-enyl acetate,268,0,0,0,0,0
34833,15165-79-4,Potassium 1-naphthaleneacetate,268,1,1,1,1,0
44559,26399-36-0,Profluralin,268,16,2,5,1,4
44974,6711-48-4,"N'-[3-(Dimethylamino)propyl]-N,N-dimethylpropane-1,3-diamine",268,2,2,2,2,0
42468,39196-18-4,"3,3-Dimethyl-1-(methylthio)butanone-O-(N-methylcarbamoyl)oxime",283,10,10,6,6,0
37626,90-98-2,"4,4'-Dichlorobenzophenone",268,4,4,2,2,0
32474,1982-49-6,Siduron,268,13,13,4,4,0
40686,22204-53-1,(+)-(S)-Naproxen,268,1,1,1,1,0
41851,1085-98-9,Dichlofluanid,266,138,27,11,7,4
41524,1124-33-0,4-Nitropyridine-1-oxide,266,47,3,7,2,5
44642,30124-94-8,Disperse Red 82,266,50,3,9,2,7
41681,13181-17-4,Bromofenoxim,266,71,9,9,6,3
40283,80-06-8,Chlorfenethol,278,78,7,11,4,7
47183,2224-49-9,Triethanolamine Laurate,266,22,0,6,0,6
42129,100-56-1,Phenylmercuric chloride,266,168,31,12,5,7
47132,505-79-3,3-(Methylthio)propyl isothiocyanate,266,28,5,7,3,4
41977,52756-22-6,Flamprop-isopropyl,266,40,8,7,3,4
44549,13967-50-5,Potassium dicyanoaurate,266,136,35,9,5,4
44613,2094-98-6,"1,1'-Diazene-1,2-diyldicyclohexanecarbonitrile",266,6,6,3,3,0
23775,630-93-3,Diphenylhydantoin sodium,266,6,6,3,3,0
42462,513-92-8,Tetraiodoethene,266,127,18,9,6,3
47530,1244-76-4,Hydroxyzine hydrochloride,266,67,11,9,4,5
42089,765-15-1,Lauryl thiocyanate,266,7,7,3,3,0
37522,10311-84-9,Dialifor,266,42,13,8,6,2
40265,29091-05-2,Dinitramine,266,64,10,10,4,6
29136,101-11-1,3-((Ethylphenylamino)methyl)benzenesulfonic acid,266,3,3,2,2,0
41883,1420-07-1,Dinoterb,266,88,13,9,5,4
44766,10361-79-2,Praseodymium trichloride,3,0,0,0,0,0
29705,7783-28-0,Diammonium hydrogen phosphate,3,0,0,0,0,0
21229,5160-02-1,C.I. Pigment Red 53,3,0,0,0,0,0
20548,2439-10-3,Dodecylguanidine acetate,266,15,0,5,0,5
34672,7553-56-2,Iodine,266,30,3,7,2,5
47766,96-19-5,"1,2,3-Trichloropropene",3,0,0,0,0,0
25553,110-49-6,2-Methoxyethyl acetate,3,0,0,0,0,0
21197,57-57-8,beta-Propiolactone,81,0,0,0,0,0
29668,6484-52-2,Ammonium nitrate,607,16,0,5,0,5
34836,7681-11-0,Potassium iodide,266,3,3,1,1,0
47662,140923-17-7,Iprovalicarb,266,8,8,3,3,0
47498,1162-06-7,Triphenyllead acetate,266,181,38,13,7,6
47003,7778-74-7,Potassium perchlorate,266,1,1,1,1,0
40727,76674-21-0,Flutriafol,266,9,9,3,3,0
41997,67-45-8,Furazolidone,266,22,7,6,4,2
52488,7452-79-1,Ethyl 2-methylbutyrate,3,0,0,0,0,0
44591,1515-72-6,"2-Butyl-1H-isoindole-1,3(2H)-dione",266,7,1,2,1,1
52635,941-98-0,1'-Acetonaphthone,3,0,0,0,0,0
24515,7790-98-9,Ammonium perchlorate,529,1,1,1,1,0
40279,21609-90-5,Leptophos,266,50,10,8,4,4
34875,179101-81-6,Pyridalyl,3,0,0,0,0,0
37478,41814-78-2,"2,7,8,9-Tricyclazole",266,12,12,6,6,0
34857,100646-51-3,Quizalofop-p-ethyl,3,0,0,0,0,0
29317,18479-58-8,"1,1,5-Trimethyl-6-heptenol",266,2,2,2,2,0
52604,89-81-6,Piperitone,3,0,0,0,0,0
51584,1128-08-1,Dihydrojasmone,3,0,0,0,0,0
42039,629-80-1,Hexadecanal,3,0,0,0,0,0
47244,1124-63-6,3-Cyclohexylpropan-1-ol,266,0,0,0,0,0
25264,104-28-9,Cinoxate,188,4,4,3,3,0
42034,13475-82-6,"2,2,4,6,6-Pentamethylheptane",3,0,0,0,0,0
25811,112-62-9,(Z)-9-Octadecenoic acid methyl ester,266,2,2,2,2,0
47176,4994-16-5,4-Phenyl-1-cyclohexene,266,1,1,1,1,0
27049,127-91-3,beta-Pinene,266,0,0,0,0,0
44378,13361-34-7,2-Ethylhexyl cyanoacetate,266,6,6,2,2,0
49684,93-18-5,2-Ethoxynaphthalene,3,0,0,0,0,0
44508,10361-37-2,Barium chloride,266,4,4,1,1,0
21865,29014-71-9,Dibutyl (2E)-but-2-enedioate,3,0,0,0,0,0
41209,138-87-4,beta-Terpineol,266,1,1,1,1,0
44837,1484-84-0,2-Piperidineethanol,266,1,1,1,1,0
26126,2782-91-4,"1,1,3,3-Tetramethyl-2-thiourea",3,1,1,1,1,0
59015,91-01-0,Benzhydrol,3,0,0,0,0,0
200412,524-40-3,Ricinine,3,0,0,0,0,0
47896,36861-47-9,Enzacamene,356,44,5,9,4,5
61315,934-34-9,Benzothiazolone,3,1,1,1,1,0
274236,615-22-5,2-(Methylthio)benzothiazole,3,2,2,2,2,0
274235,13190-34-6,DL-Goitrin,3,1,1,1,1,0
62153,2052-14-4,Butyl salicylate,3,1,1,1,1,0
24467,136-95-8,2-Aminobenzothiazole,266,9,9,5,5,0
274238,626-03-9,"2,4-Dihydroxypyridine",3,0,0,0,0,0
198757,62885-41-0,4-Hydroxy-3-methoxypyridine,3,0,0,0,0,0
228435,7781-98-8,Ethyl 3-hydroxybenzoate,3,0,0,0,0,0
26625,98-55-5,alpha-Terpineol,266,0,0,0,0,0
161811,14173-30-9,3-Hydroxy-2-(hydroxymethyl)pyridine hydrochloride,3,0,0,0,0,0
22923,15307-86-5,Diclofenac,3,0,0,0,0,0
41995,3878-19-1,Fuberidazole,266,24,8,6,4,2
40990,555-60-2,Carbonyl cyanide chlorophenylhydrazone,266,129,41,11,8,3
46989,153-94-6,D-Tryptophan,529,4,4,2,2,0
32751,65558-69-2,"1,3-Diiminobenz(f)isoindoline",266,150,11,11,5,6
23873,631-61-8,Ammonium acetate,3,0,0,0,0,0
44699,598-02-7,Diethyl hydrogen phosphate,3,0,0,0,0,0
23590,110871-86-8,Sparfloxacin,266,2,2,2,2,0
20099,10190-99-5,Sodium aristolochate-I,266,101,21,9,4,5
40147,33286-22-5,Diltiazem hydrochloride,3,0,0,0,0,0
52726,66851-46-5,Mono(3-carboxypropyl)phthalate,3,0,0,0,0,0
52725,65907-30-4,Furathiocarb,3,0,0,0,0,0
52714,5393-19-1,Octyl hydrogen phthalate,3,0,0,0,0,0
52729,7517-36-4,Monocyclohexyl phthalate,3,0,0,0,0,0
46994,2318-25-4,Ethyl 3-ethoxy-3-iminopropionate hydrochloride,266,9,0,3,0,3
20364,50-18-0,Cyclophosphamide,3,0,0,0,0,0
52696,2306-33-4,Monoethyl phthalate,3,0,0,0,0,0
44900,26896-48-0,Tricyclodecanedimethanol,266,10,0,5,0,5
20341,76-57-3,Codeine,266,2,2,2,2,0
58688,1068-22-0,Ammonium diethyl dithiophosphate,3,0,0,0,0,0
51628,123-48-8,"2,2,4,6,6-Pentamethylhept-3-ene",3,0,0,0,0,0
23954,12789-03-6,Technical chlordane,266,125,13,11,5,6
27482,2487-90-3,Trimethoxysilane,3,0,0,0,0,0
45072,6378-25-2,"2,4,5-Trichlorobenzenesulfonic acid",266,9,1,3,1,2
42574,15676-16-1,Sulpiride,266,11,0,4,0,4
31654,101043-37-2,Microcystin LR,3,0,0,0,0,0
24115,64-18-6,Formic acid,3,0,0,0,0,0
34141,102676-47-1,Fadrozole,3,0,0,0,0,0
42090,1541-67-9,Lauryldiethanolamine,266,131,9,10,5,5
42509,83-28-3,"2-Isovaleryl-1,3-indanedione",266,31,2,8,1,7
44623,2478-10-6,4-Hydroxybutyl prop-2-enoate,266,23,5,6,4,2
42084,4849-32-5,"N-(1,1-Dimethylethyl)-, 3-[[(dimethylamino)carbonyl]amino]phenyl ester",266,5,5,5,5,0
35481,3572-06-3,4-[4-(Acetyloxy)phenyl]-2-butanone,266,1,1,1,1,0
47035,3913-81-3,(2E)-2-Decenal,266,11,11,4,4,0
47476,6911-51-9,2-Thienyl disulfide,266,69,18,9,7,2
44322,929-73-7,Dodecylamine hydrochloride,266,132,6,11,3,8
42124,7774-29-0,Mercuric iodide,266,164,31,12,8,4
42260,66246-88-6,Penconazole,266,62,9,7,4,3
41910,17109-49-8,Edifenphos,266,33,33,7,7,0
44893,25354-97-6,2-Hexyldecanoic acid,266,37,3,7,2,5
32421,29457-72-5,Lithium perfluorooctanesulfonate,266,15,1,6,1,5
41619,71626-11-4,Benalaxyl,266,30,4,8,3,5
47568,41394-05-2,Metamitron,266,5,5,4,4,0
44525,122-64-5,Phenylmercuric lactate,266,162,27,12,6,6
41411,96686-51-0,2-Chloro-N-(2-methyl-4-bromophenyl)acetamide,266,128,10,7,5,2
47711,68916-76-7,"Oils, bran",266,7,7,6,6,0
44402,1694-31-1,tert-Butyl 3-oxobutanoate,266,1,1,1,1,0
47242,123333-56-2,"2,4-Diaminoanisole sulfate hydrate (1:1:x)",266,74,7,8,5,3
41600,36001-88-4,Amiprofos-methyl,278,35,35,7,7,0
42123,1600-27-7,Mercury(II) acetate,266,170,15,12,5,7
44982,70693-59-3,2-Amino-N-cyclohexyl-N-methylbenzenesulfonamide,278,22,0,4,0,4
44844,15930-66-2,3-(Octyloxy)propan-1-amine,266,25,7,6,3,3
21148,59-88-1,Phenylhydrazine hydrochloride,792,42,42,7,7,0
40738,113-52-0,Imipramine hydrochloride,266,60,8,9,5,4
44915,32329-20-7,"3-Methyl-3,4-dihydro-2H-1,4-benzoxazine",266,3,3,3,3,0
37553,15457-05-3,Fluorodifen,266,31,1,8,1,7
42441,1918-11-2,Terbucarb,266,5,5,3,3,0
42180,3567-62-2,"N-(3,4-Dichlorophenyl)-N'-methylurea",266,20,20,7,7,0
44585,14663-23-1,Dantrolene sodium,529,59,6,7,3,4
47683,55704-78-4,"2,5-Dimethyl-1,4-dithiane-2,5-diol",266,16,16,8,8,0
24638,2052-07-5,2-Bromobiphenyl,266,6,6,4,4,0
42140,21540-35-2,Methiuron,266,9,9,5,5,0
44589,1501-27-5,5-Methoxy-5-oxopentanoic acid,266,0,0,0,0,0
47108,1679-07-8,Cyclopentanethiol,266,0,0,0,0,0
42137,28730-17-8,Methfuroxam,281,41,1,7,1,6
47512,143983-91-9,Indium(III) chloride hydrate,266,7,7,5,5,0
41778,5836-10-2,Chloropropylate,266,92,9,11,4,7
42261,66063-05-6,Pencycuron,266,63,11,10,4,6
47681,4437-51-8,"3,4-Hexanedione",266,8,8,3,3,0
44388,36768-62-4,"2,2,6,6-Tetramethylpiperidin-4-amine",265,0,0,0,0,0
44405,1937-19-5,Aminoguanidine hydrochloride,265,6,6,4,4,0
44408,2038-03-1,2-Morpholinoethylamine,265,2,2,1,1,0
35186,1193-18-6,3-Methyl-2-cyclohexen-1-one,265,0,0,0,0,0
35206,2179-57-9,Diallyl disulfide,265,7,7,5,5,0
43950,149-45-1,Tiron,265,1,1,1,1,0
47096,142-64-3,Piperazine dihydrochloride,265,1,1,1,1,0
32536,39515-40-7,Cyphenothrin,265,9,9,3,3,0
44980,69852-45-5,3-{[3-(Dimethylamino)propyl]amino}propanenitrile,265,2,2,1,1,0
41451,2495-39-8,"2-Propene-1-sulfonic acid, sodium salt",265,0,0,0,0,0
40295,24579-73-5,Propamocarb,265,2,2,2,2,0
47428,67028-40-4,(4-Methylphenoxy) acetic acid ethyl ester,265,5,5,3,3,0
44931,3775-90-4,2-(tert-Butylamino)ethyl 2-methylprop-2-enoate,265,1,1,1,1,0
44858,18039-42-4,5-Phenyl-1H-tetrazole,265,9,0,3,0,3
42051,93-69-6,1-(o-Tolyl)biguanide,265,2,2,2,2,0
37748,1009-93-4,"2,2,4,4,6,6-Hexamethylcyclotrisilazane",265,4,4,2,2,0
34382,28434-01-7,Bioresmethrin,528,20,20,4,4,0
27084,140-93-2,Proxan-sodium,265,41,4,6,3,3
44565,4246-51-9,"3,3'-[Oxybis(ethane-2,1-diyloxy)]dipropan-1-amine",265,22,2,6,1,5
35592,72269-48-8,(E)-4-Tridecen-l-yl acetate,265,9,9,5,5,0
40735,180-84-7,"1,7-Dioxaspiro[5.5]undecane",265,0,0,0,0,0
35305,56578-18-8,(E)-5-Decen-1-ol,265,6,6,6,6,0
34729,1216-44-0,Methyl 9-hydroxy-9H-fluorene-9-carboxylate,265,5,5,2,2,0
40296,50-31-7,"2,3,6-Trichlorobenzoic acid",265,4,4,3,3,0
47155,138-15-8,L-Glutamic acid hydrochloride,265,5,5,2,2,0
35753,52304-36-6,Ethyl 3-(N-butylacetamido)propionate,265,3,3,2,2,0
35286,33189-72-9,(E)-11-Tetradecenyl acetate,265,5,5,5,5,0
44399,1571-33-1,Phenylphosphonic acid,265,0,0,0,0,0
35620,1196-01-6,"(1S,5S)-4,6,6-Trimethylbicyclo[3.1.1]hept-3-en-2-one",265,1,1,1,1,0
38831,10258-54-5,2-Methoxyethyl cyanoacetate,265,2,2,2,2,0
46051,608-66-2,D-Galactitol,526,0,0,0,0,0
48607,187164-19-8,Luliconazole,431,67,11,8,3,5
23740,42971-09-5,Vinpocetine,356,35,11,9,7,2
46482,112887-68-0,Raltitrexed,356,45,6,5,1,4
40980,179324-69-7,Bortezomib,353,162,67,9,8,1
47843,3810-80-8,Diphenoxylate hydrochloride,353,81,10,8,5,3
22901,1177-87-3,Dexamethasone acetate,353,24,24,5,5,0
23713,635-41-6,Trimetozine,341,0,0,0,0,0
23411,115-33-3,Oxyphenisatin acetate,341,58,2,7,2,5
23660,82-99-5,Thiphenamil,341,40,6,7,3,4
46276,3567-08-6,Glysobuzole,341,3,3,3,3,0
20245,103-03-7,2-Phenylhydrazinecarboxamide,604,14,14,5,5,0
22593,104-06-3,Amithiozone,341,1,1,1,1,0
23122,56-29-1,Hexobarbital,341,0,0,0,0,0
21084,11042-64-1,Gamma-Oryzanol,341,23,23,6,6,0
33989,64092-48-4,Sodium zomepirac,604,7,7,5,5,0
46670,93793-83-0,Roxatidine acetate hydrochloride,341,7,7,5,5,0
46263,119-13-1,D-delta-Tocopherol,341,0,0,0,0,0
45265,80-32-0,Sulfachloropyridazine,341,2,2,2,2,0
25258,1239-45-8,Ethidium bromide,604,237,73,9,6,3
22894,56-47-3,Deoxycorticosterone acetate,290,28,17,5,5,0
23024,965-90-2,Ethylestrenol,290,61,27,8,5,3
46919,212141-54-3,Vatalanib,278,46,9,8,3,5
45601,92953-10-1,Clofilium tosylate,278,49,15,7,5,2
46823,25122-57-0,Clobetasone butyrate,278,27,27,7,7,0
23155,83-73-8,Iodoquinol,278,35,8,6,4,2
45645,518-28-5,Podofilox,541,67,3,8,3,5
30432,2353-33-5,Decitabine,278,7,7,2,2,0
45848,69235-50-3,Acriflavine hydrochloride,278,118,12,11,5,6
45952,119413-54-6,Topotecan hydrochloride,278,91,34,9,4,5
45889,37693-01-9,Clofoctol,278,147,8,10,3,7
45941,61422-45-5,Carmofur,278,31,0,7,0,7
45914,5451-09-2,Aminolevulinic acid hydrochloride,278,3,3,2,2,0
20717,103-16-2,4-(Benzyloxyl)phenol,541,74,0,10,0,10
23333,83919-23-7,Mometasone furoate,278,50,14,8,5,3
46279,26130-02-9,Frentizole,278,46,9,8,4,4
21729,66-76-2,Dicumarol,278,40,7,7,4,3
44758,93957-55-2,Fluvastatin sodium,278,31,9,7,4,3
46017,34140-59-5,Trimebutine maleate,278,24,4,6,2,4
46140,3689-76-7,Chlormidazole,278,44,10,6,5,1
46092,103420-77-5,Devazepide,278,43,6,9,1,8
45359,1553-34-0,Metixene hydrochloride,278,76,6,10,6,4
47776,637-32-1,Proguanil hydrochloride,278,27,5,5,4,1
46908,5817-39-0,"3,3',5'-Triiodo-L-thyronine",278,11,11,4,4,0
40464,114977-28-5,Docetaxel,356,56,34,6,5,1
46602,70-00-8,Trifluridine,278,26,26,4,4,0
43777,1811-28-5,Proflavin hemisulfate,278,119,20,11,6,5
46740,66898-62-2,Talniflumate,278,15,15,8,8,0
45584,42461-84-7,Flunixin meglumine,278,24,2,8,2,6
45626,3440-28-6,Betamipron,278,9,9,2,2,0
22974,152-62-5,Dydrogesterone,278,29,29,6,6,0
23057,50-91-9,Floxuridine,278,39,14,5,4,1
45769,97612-24-3,Eticlopride hydrochloride,434,23,23,5,5,0
41133,149647-78-9,Vorinostat,356,88,30,9,5,4
45930,976-71-6,Canrenone,275,25,25,5,5,0
46024,135046-48-9,Clopidogrel hydrogen sulfate,275,22,22,6,6,0
46460,1310709-74-0,Halometasone hydrate,275,20,20,5,5,0
46094,107724-20-9,Eplerenone,275,4,4,2,2,0
46309,132203-70-4,Cilnidipine,275,62,10,8,5,3
46123,67121-76-0,Fluperlapine,275,21,2,7,2,5
46109,30103-44-7,Bumecaine,275,22,2,3,1,2
46148,71653-63-9,Riodipine,275,20,4,4,2,2
46465,67392-87-4,Drospirenone,275,29,14,6,4,2
23037,107868-30-4,Exemestane,275,21,21,6,6,0
23276,72-63-9,Methandrostenolone,275,27,27,5,5,0
46104,120210-48-2,Tenidap,275,57,11,8,4,4
40750,4419-39-0,Beclomethasone,275,23,23,6,6,0
46067,53-34-9,Fluprednisolone,353,29,29,6,6,0
45896,13609-67-1,Hydrocortisone 17-butyrate,275,15,15,5,5,0
23502,52-21-1,Prednisolone acetate,275,13,13,5,5,0
20796,89226-75-5,Manidipine dihydrochloride,275,66,7,9,3,6
46553,152-43-2,Quinestrol,275,63,14,7,5,2
22724,522-97-4,Canadine,275,26,26,6,6,0
23094,16320-04-0,Gestrinone,275,53,22,6,5,1
23794,434-07-1,Oxymetholone,538,165,42,8,5,3
45646,33564-31-7,Diflorasone diacetate,275,20,20,5,5,0
45676,NOCAS_45676,Loreclezole hydrochloride,275,11,11,4,4,0
40770,6898-97-1,"(Z,E)-Diethylstilbestrol",275,52,10,8,3,5
45306,338-98-7,Isoflupredone acetate,275,16,16,5,5,0
20714,50-23-7,Hydrocortisone,538,26,26,4,4,0
45642,152-58-9,Cortodoxone,275,19,19,4,4,0
46889,1239-29-8,Furazabol,275,67,15,7,3,4
21219,6151-25-3,Quercetin dihydrate,538,93,12,10,6,4
46853,94497-51-5,Tamibarotene,275,33,7,7,4,3
23179,75695-93-1,Isradipine,275,31,5,5,3,2
23669,55142-85-3,Ticlopidine,275,21,21,7,7,0
45365,2135-17-3,Flumethasone,275,17,17,5,5,0
48919,911-65-9,Etonitazene,275,65,12,10,5,5
41827,2759-71-9,Cypromid,275,31,1,6,1,5
48608,9066-59-5,Lysozyme hydrochloride,263,4,4,2,2,0
48606,64808-48-6,Lobenzarit sodium,263,13,0,4,0,4
48603,72590-77-3,Hydrocortisone buteprate,263,7,7,2,2,0
23019,77-67-8,Ethosuximide,263,0,0,0,0,0
22812,77-36-1,Chlorthalidone,263,2,2,2,2,0
46287,127-77-5,Sulfabenz,263,2,2,1,1,0
46286,94-19-9,Sulfaethidole,263,3,3,1,1,0
46285,33743-96-3,Proroxan,263,54,4,8,2,6
46284,4008-48-4,Nitroxoline,263,84,15,8,5,3
46283,21221-18-1,Flazalone,263,21,1,4,1,3
46282,177036-94-1,Ambrisentan,263,2,2,1,1,0
46281,76894-77-4,Dazmegrel,263,5,5,1,1,0
48597,83435-67-0,Delapril hydrochloride,263,19,0,3,0,3
48596,201530-41-8,Deferasirox,263,32,2,8,2,6
48592,113981-44-5,Cefozopran hydrochloride,263,0,0,0,0,0
48591,75498-96-3,Cefminox sodium,263,1,1,1,1,0
48590,111696-23-2,Cefetamet pivoxil HCl,263,4,4,2,2,0
20246,121-59-5,Carbarsone,526,0,0,0,0,0
48623,9002-96-4,Tocophersolan,263,51,6,6,2,4
48892,74341-78-9,"N-Ethyl-alpha-methyl-1,3-benzodioxole-5-ethanamine hydrochloride",263,5,5,2,2,0
48908,509-60-4,Dihydromorphine,263,5,5,4,4,0
48907,795-38-0,Dihydroisocodeine,263,3,3,3,3,0
20478,695-53-4,Dimethadione,526,3,3,3,3,0
23613,651-06-9,Sulfamethoxydiazine,263,1,1,1,1,0
47777,637-58-1,Pramoxine hydrochloride,263,9,9,5,5,0
22681,603-50-9,Bisacodyl,526,93,0,9,0,9
23536,603-00-9,Proxyphylline,263,0,0,0,0,0
22658,91-33-8,Benzthiazide,263,3,3,1,1,0
23591,90-39-1,Sparteine,263,1,1,1,1,0
23460,86-34-0,Phensuximide,263,0,0,0,0,0
45271,85-79-0,Dibucaine,263,30,3,6,2,4
47493,43218-56-0,Midodrine hydrochloride,526,6,6,1,1,0
45373,2773-92-4,Dimethisoquin hydrochloride,263,27,7,8,6,2
45372,2753-45-9,Mebeverine hydrochloride,263,12,3,5,2,3
45342,957-68-6,7-Aminocephalosporanic acid,263,2,2,1,1,0
45341,956-03-6,Meprylcaine hydrochloride,263,4,4,3,3,0
48898,520-52-5,Psilocybin,263,0,0,0,0,0
48877,36415-61-9,Ibogaine hydrochloride (1:x),263,52,6,8,5,3
48869,1892-80-4,Fenethylline hydrochloride,263,13,2,3,1,2
48899,520-53-6,Psilocin,263,34,4,8,3,5
48897,7558-73-8,"N,N-Dipropyltryptamine hydrochloride",263,18,2,6,1,5
48896,68677-26-9,"N,N-Dimethyltryptamine fumarate",263,8,8,5,5,0
48895,NOCAS_48895,"N,N-Diethyltryptamine fumarate",263,12,12,6,6,0
48894,487-93-4,Bufotenine,263,14,2,6,2,4
45382,3963-95-9,Methacycline hydrochloride,263,0,0,0,0,0
23716,3902-71-4,Trioxsalen,263,7,7,3,3,0
23481,3819-00-9,Piperacetazine,263,54,2,9,2,7
48904,1422-07-7,Codeine hydrochloride,263,44,1,7,1,6
23059,2022-85-7,Flucytosine,263,0,0,0,0,0
47781,1986-47-6,Tranylcypromine hydrochloride,263,4,4,1,1,0
31956,1786-81-8,Prilocaine hydrochloride,263,1,1,1,1,0
45361,1649-18-9,Azaperone,263,14,1,7,1,6
45357,1508-76-5,Procyclidine hydrochloride,263,11,2,3,2,1
45351,1220-83-3,Sulfamonomethoxine,263,0,0,0,0,0
47780,1212-72-2,"Benzeneethanamine, N,α,α-trimethyl-, sulfate (2:1)",263,1,1,1,1,0
45376,3160-91-6,Moroxidine hydrochloride,263,0,0,0,0,0
23128,3105-97-3,Hycanthone,263,104,9,9,4,5
45375,3093-35-4,Halcinonide,263,22,10,6,4,2
48883,29705-96-2,"4-Bromo-2,5-dimethoxyamphetamine hydrochloride",263,24,4,4,2,2
48882,50505-92-5,"R-(-)-2,5-Dimethoxy-4-bromoamphetamine hydrochloride",263,23,1,5,1,4
23231,50-37-3,Lysergide,341,36,10,8,5,3
48875,340-57-8,Mecloqualone,263,33,2,5,2,3
48873,20224-45-7,S-(-)-Secobarbital,263,2,2,2,2,0
45371,2668-66-8,Medrysone,263,23,23,6,6,0
45370,2508-79-4,Methyldopate hydrochloride,263,15,1,6,1,5
47782,2508-72-7,Antazoline hydrochloride,263,6,6,4,4,0
23608,2447-57-6,Sulfadoxine,263,6,0,2,0,2
45368,2438-72-4,Bufexamac,263,30,1,5,1,4
45366,2139-47-1,Nifenazone,263,5,5,3,3,0
45364,2062-84-2,Benperidol,263,13,1,5,1,4
45388,5575-21-3,Cefalonium,263,1,1,1,1,0
45386,5072-45-7,cis-Nanophine hydrochloride,263,1,1,1,1,0
45383,4093-35-0,Bromopride,263,5,5,2,2,0
45417,15622-65-8,"Indol-4(5H)-one, 3-ethyl-6,7-dihydro-2-methyl-5-(morpholinomethyl)-, monohydrochloride",263,3,3,1,1,0
45416,15421-84-8,Trapidil,263,2,2,1,1,0
